County,ZIP Code,Total Births 2014-2016,Premature Birth Perc,Low Birth Rate Perc,Out of Wedlock Perc,Medicaid or Self-Pay Perc,Late or No Prenatal Care Perc,Infant Deaths 2014-2016 per 1000 Live Births,Infant Deaths Rate per 1000 Live Births,Neonatal Deaths 2014-2016 per 1000 Live Births,Neonatal Dearths Rate per 1000 Live Births,Teen Birth Rate per 1000,Teen Pregnancy Rate per 1000
Broome,13748 ,98 ,4.2 ,5.1 ,50.0 ,56.1 ,3.1 ,1 ,10.2 ,1 ,10.2 ,18.3 ,21.4 
Broome,13754 ,81 ,9.9 ,3.7 ,48.1 ,59.3 ,1.2 ,0 ,0.0 ,0 ,0.0 ,20.8 ,23.8 
Broome,13760 ,"1,363 ",10.1 ,6.9 ,44.8 ,51.5 ,5.0 ,6 ,4.4 ,4 ,2.9 ,16.4 ,26.4 
Broome,13777 ,33 ,15.2 ,6.1 ,33.3 ,63.6 ,6.1 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Broome,13787 ,104 ,8.7 ,4.8 ,46.2 ,68.3 ,3.8 ,0 ,0.0 ,0 ,0.0 ,28.5 ,31.3 
Broome,13790 ,657 ,11.2 ,7.9 ,51.9 ,61.5 ,5.5 ,5 ,7.6 ,5 ,7.6 ,23.9 ,44.2 
Broome,13795 ,138 ,10.1 ,7.2 ,39.1 ,55.5 ,4.3 ,1 ,7.2 ,1 ,7.2 ,10.4 ,13.0 
Broome,13797 ,77 ,17.1 ,10.4 ,44.2 ,54.5 ,13.0 ,0 ,0.0 ,0 ,0.0 ,21.9 ,21.9 
Broome,13802 ,21 ,0.0 ,0.0 ,38.1 ,38.1 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Broome,13813 ,13 ,0.0 ,7.7 ,76.9 ,76.9 ,7.7 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Broome,13833 ,129 ,5.6 ,6.2 ,48.8 ,66.7 ,4.7 ,0 ,0.0 ,0 ,0.0 ,13.1 ,18.4 
Broome,13850 ,486 ,8.5 ,5.1 ,23.3 ,31.9 ,5.4 ,1 ,2.1 ,1 ,2.1 ,1.3 ,2.7 
Broome,13862 ,148 ,6.9 ,2.7 ,41.9 ,44.9 ,2.0 ,0 ,0.0 ,0 ,0.0 ,22.9 ,28.0 
Broome,13865 ,162 ,8.0 ,3.7 ,48.1 ,58.0 ,2.5 ,2 ,12.3 ,1 ,6.2 ,22.9 ,49.0 
Broome,13901 ,695 ,10.2 ,8.8 ,54.1 ,61.7 ,5.5 ,4 ,5.8 ,3 ,4.3 ,26.5 ,51.8 
Broome,13903 ,633 ,9.9 ,6.8 ,54.5 ,59.4 ,5.7 ,6 ,9.5 ,2 ,3.2 ,18.7 ,41.4 
Broome,13904 ,294 ,12.2 ,8.2 ,49.0 ,61.9 ,3.8 ,3 ,10.2 ,2 ,6.8 ,20.4 ,35.6 
Broome,13905 ,908 ,12.0 ,10.0 ,54.5 ,65.2 ,7.4 ,6 ,6.6 ,4 ,4.4 ,30.9 ,55.5
Cattaraugus,14042 ,137 ,6.9 ,8.0 ,36.5 ,44.5 ,4.5 ,0 ,0.0 ,0 ,0.0 ,7.1 ,16.7 
Cattaraugus,14065 ,88 ,7.5 ,8.0 ,40.9 ,59.1 ,14.0 ,0 ,0.0 ,0 ,0.0 ,31.3 ,52.1 
Cattaraugus,14101 ,38 ,8.6 ,10.5 ,65.8 ,63.2 ,2.6 ,0 ,0.0 ,0 ,0.0 ,18.5 ,37.0 
Cattaraugus,14129 ,59 ,8.5 ,5.1 ,47.5 ,49.2 ,1.7 ,0 ,0.0 ,0 ,0.0 ,36.2 ,43.5 
Cattaraugus,14138 ,104 ,12.1 ,5.8 ,31.7 ,32.7 ,5.6 ,0 ,0.0 ,0 ,0.0 ,22.2 ,22.2 
Cattaraugus,14171 ,46 ,16.7 ,10.9 ,28.3 ,34.8 ,0.0 ,1 ,21.7 ,0 ,0.0 ,5.5 ,10.9 
Cattaraugus,14706 ,168 ,12.3 ,6.5 ,39.3 ,41.7 ,1.8 ,0 ,0.0 ,0 ,0.0 ,9.1 ,13.4 
Cattaraugus,14719 ,134 ,14.9 ,4.5 ,27.6 ,30.6 ,9.8 ,2 ,14.9 ,2 ,14.9 ,10.6 ,10.6 
Cattaraugus,14726 ,184 ,21.1 ,4.3 ,9.8 ,15.8 ,28.6 ,1 ,5.4 ,1 ,5.4 ,26.8 ,26.8 
Cattaraugus,14729 ,26 ,14.3 ,3.8 ,30.8 ,23.1 ,4.5 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Cattaraugus,14731 ,23 ,4.3 ,4.3 ,34.8 ,21.7 ,13.6 ,0 ,0.0 ,0 ,0.0 ,0.0 ,0.0 
Cattaraugus,14737 ,131 ,12.8 ,8.4 ,40.5 ,61.1 ,10.9 ,0 ,0.0 ,0 ,0.0 ,14.0 ,19.6 
Cattaraugus,14741 ,47 ,19.5 ,6.4 ,55.3 ,46.8 ,2.1 ,1 ,21.3 ,1 ,21.3 ,12.1 ,18.2 
Cattaraugus,14743 ,48 ,16.7 ,12.5 ,68.8 ,68.8 ,4.2 ,0 ,0.0 ,0 ,0.0 ,27.2 ,27.2 
Cattaraugus,14748 ,30 ,21.4 ,6.7 ,53.3 ,46.7 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Cattaraugus,14753 ,33 ,6.9 ,6.1 ,54.5 ,45.5 ,12.1 ,0 ,0.0 ,0 ,0.0 ,7.9 ,15.9 
Cattaraugus,14755 ,89 ,17.8 ,14.6 ,52.8 ,56.2 ,3.8 ,1 ,11.2 ,1 ,11.2 ,32.1 ,36.1 
Cattaraugus,14760 ,665 ,12.4 ,7.7 ,55.8 ,59.6 ,2.9 ,3 ,4.5 ,2 ,3.0 ,31.8 ,44.9 
Cattaraugus,14770 ,89 ,8.8 ,7.9 ,56.2 ,48.3 ,3.4 ,0 ,0.0 ,0 ,0.0 ,33.7 ,37.5 
Cattaraugus,14772 ,157 ,11.0 ,7.0 ,26.3 ,36.5 ,2.6 ,0 ,0.0 ,0 ,0.0 ,21.6 ,30.3 
Cattaraugus,14779 ,282 ,8.1 ,7.8 ,77.0 ,56.0 ,3.6 ,0 ,0.0 ,0 ,0.0 ,64.0 ,78.9
Cayuga,13021 ,"1,186 ",10.8 ,6.7 ,57.1 ,54.6 ,1.9 ,8 ,6.7 ,5 ,4.2 ,19.4 ,25.6 
Cayuga,13026 ,42 ,9.8 ,9.5 ,42.9 ,52.4 ,4.8 ,1 ,23.8 ,0 ,0.0 ,7.7 ,20.5 
Cayuga,13033 ,136 ,8.1 ,6.6 ,38.2 ,50.7 ,2.9 ,0 ,0.0 ,0 ,0.0 ,24.0 ,34.7 
Cayuga,13034 ,46 ,0.0 ,6.5 ,26.1 ,28.3 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5.6 ,11.1 
Cayuga,13071 ,35 ,9.1 ,0.0 ,51.4 ,48.6 ,2.9 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Cayuga,13081 ,33 ,6.3 ,6.1 ,27.3 ,33.3 ,6.1 ,0 ,0.0 ,0 ,0.0 ,29.8 ,35.7 
Cayuga,13092 ,100 ,11.0 ,6.0 ,30.0 ,52.0 ,4.1 ,1 ,10.0 ,1 ,10.0 ,15.0 ,22.5 
Cayuga,13111 ,55 ,7.3 ,3.6 ,43.6 ,56.4 ,7.3 ,0 ,0.0 ,0 ,0.0 ,6.0 ,17.9 
Cayuga,13118 ,144 ,4.3 ,4.2 ,43.8 ,53.5 ,2.8 ,2 ,13.9 ,0 ,0.0 ,10.2 ,18.3 
Cayuga,13140 ,134 ,3.0 ,3.0 ,59.0 ,64.2 ,0.0 ,0 ,0.0 ,0 ,0.0 ,17.4 ,19.6 
Cayuga,13147 ,27 ,7.7 ,3.7 ,48.1 ,66.7 ,7.4 ,0 ,0.0 ,0 ,0.0 ,6.5 ,13.1 
Cayuga,13156 ,68 ,6.2 ,5.9 ,38.2 ,41.2 ,1.5 ,0 ,0.0 ,0 ,0.0 ,10.1 ,10.1 
Cayuga,13160 ,52 ,7.8 ,7.7 ,36.5 ,44.2 ,3.8 ,0 ,0.0 ,0 ,0.0 ,11.5 ,15.3 
Cayuga,13166 ,158 ,9.5 ,5.7 ,49.4 ,48.7 ,1.3 ,1 ,6.3 ,1 ,6.3 ,20.2 ,32.3
Chautauqua,14048 ,571 ,13.2 ,6.5 ,68.8 ,73.7 ,7.1 ,5 ,8.8 ,4 ,7.0 ,54.4 ,76.0 
Chautauqua,14062 ,75 ,17.8 ,8.0 ,45.3 ,46.7 ,1.4 ,0 ,0.0 ,0 ,0.0 ,3.2 ,6.3 
Chautauqua,14063 ,273 ,8.9 ,6.6 ,44.3 ,45.8 ,6.3 ,0 ,0.0 ,0 ,0.0 ,3.6 ,5.4 
Chautauqua,14136 ,156 ,5.3 ,3.2 ,49.4 ,45.5 ,5.2 ,0 ,0.0 ,0 ,0.0 ,13.8 ,18.4 
Chautauqua,14701 ,"1,557 ",10.4 ,8.2 ,62.5 ,71.6 ,4.5 ,11 ,7.1 ,8 ,5.1 ,45.6 ,51.5 
Chautauqua,14710 ,97 ,8.2 ,6.2 ,29.9 ,53.6 ,18.9 ,1 ,10.3 ,1 ,10.3 ,12.1 ,18.2 
Chautauqua,14712 ,74 ,10.1 ,12.2 ,36.5 ,51.4 ,5.5 ,1 ,13.5 ,1 ,13.5 ,3.8 ,7.6 
Chautauqua,14716 ,68 ,20.0 ,14.7 ,51.5 ,61.8 ,2.9 ,0 ,0.0 ,0 ,0.0 ,36.5 ,41.7 
Chautauqua,14718 ,42 ,18.4 ,9.5 ,54.8 ,54.8 ,12.5 ,1 ,23.8 ,1 ,23.8 ,17.5 ,17.5 
Chautauqua,14723 ,44 ,6.7 ,4.5 ,20.5 ,29.5 ,6.5 ,0 ,0.0 ,0 ,0.0 ,14.2 ,14.2 
Chautauqua,14724 ,94 ,3.4 ,1.1 ,24.7 ,46.2 ,13.8 ,0 ,0.0 ,0 ,0.0 ,15.9 ,19.0 
Chautauqua,14728 ,43 ,10.0 ,0.0 ,30.2 ,46.5 ,14.7 ,0 ,0.0 ,0 ,0.0 ,22.2 ,22.2 
Chautauqua,14733 ,152 ,7.6 ,4.6 ,53.6 ,59.9 ,6.6 ,2 ,13.2 ,2 ,13.2 ,35.4 ,41.3 
Chautauqua,14736 ,12 ,0.0 ,0.0 ,50.0 ,8.3 ,9.1 ,0 ,0.0 ,0 ,0.0 ,* ,* 
